givens,proportion,inside,outside,level,level-dev,variables,variables-dev,used,used-dev,original,original-dev,conflicts,conflicts-dev,learned,learned-dev,limit,limit-dev,agility,agility-dev,memory,memory-dev
40,0.55,22.00,18.00,128.01,6.58,2096.46,55.07,42.64,2.14,330.76,6.45,42.00,19.47,13.29,8.26,1000.16,4.23,0.85,0.50,2.25,0.05
40,0.60,24.00,16.00,131.89,6.50,2098.79,51.84,42.28,2.01,327.36,6.21,34.06,18.77,13.47,10.79,1000.49,7.41,0.82,0.52,2.24,0.05
40,0.65,26.00,14.00,135.02,5.77,2109.66,43.20,41.79,1.80,326.21,5.26,31.06,17.20,13.06,9.32,1000.46,6.80,0.78,0.47,2.23,0.04
40,0.70,28.00,12.00,139.79,4.96,2121.83,31.19,41.35,1.61,325.00,3.92,24.90,14.39,12.65,5.78,1000.05,2.19,0.75,0.36,2.21,0.03
40,0.75,30.00,10.00,142.25,4.54,2141.04,22.20,40.60,1.48,324.52,2.58,17.56,10.26,12.14,5.78,1000.04,2.43,0.71,0.31,2.20,0.02
40,0.80,32.00,8.00,147.20,4.16,2178.81,16.35,39.35,1.36,325.44,1.60,14.23,7.04,12.06,3.67,1000.00,0.00,0.70,0.26,2.20,0.01
40,0.85,34.00,6.00,150.09,3.79,2218.13,15.20,38.31,1.29,327.03,0.68,12.56,3.64,12.21,3.05,1000.00,0.00,0.69,0.22,2.20,0.00
50,0.00,0.00,50.00,92.70,12.46,2089.25,17.85,50.11,5.36,354.94,0.36,95.81,107.18,95.19,105.60,1052.02,86.49,4.55,2.67,2.30,0.01
50,0.05,2.00,48.00,91.50,12.73,2078.59,20.43,49.28,4.56,352.90,0.50,79.53,83.98,78.75,83.88,1038.63,70.32,4.10,2.42,2.30,0.01
50,0.10,5.00,45.00,92.53,12.92,2058.86,20.65,49.01,4.02,349.87,0.71,64.59,67.28,63.35,67.06,1025.95,56.67,3.64,2.19,2.30,0.00
50,0.15,8.00,42.00,93.13,11.65,2036.38,26.47,48.45,3.57,346.53,1.63,50.66,48.49,47.22,47.94,1013.93,40.35,3.01,1.89,2.30,0.00
50,0.20,10.00,40.00,94.25,10.96,2018.14,34.60,48.38,3.32,343.65,2.81,46.07,39.99,39.58,39.01,1009.69,32.54,2.64,1.72,2.30,0.00
50,0.25,12.00,38.00,96.20,10.82,1998.88,46.28,48.19,3.00,340.05,4.35,45.27,34.46,32.73,31.98,1005.43,24.84,2.30,1.54,2.30,0.00
50,0.30,15.00,35.00,99.93,9.73,1963.36,58.02,48.00,2.77,334.58,5.96,41.39,29.32,23.76,25.38,1002.95,18.79,1.67,1.20,2.30,0.00
50,0.35,18.00,32.00,105.45,8.38,1915.05,65.30,48.95,2.65,324.84,8.04,46.33,23.19,18.35,16.48,1001.43,11.96,1.29,0.91,2.30,0.00
50,0.40,20.00,30.00,106.57,7.88,1888.39,62.99,48.86,2.36,320.81,7.70,46.04,23.02,15.55,15.83,1001.32,11.82,1.02,0.78,2.30,0.00
